,Density  g/ml,,,1.65,Density ug/m^3,1.65E+12,pi,3.141592654,6.06E-13,1.00E-05,,,,,
,,,,,0,,Respiretory convertion,,,,,,,g/ml,1
bins names,bin size um,Min point ,Volume weighet Diamiter ,bin weight,Volume (m^3),Mass (ug),PM1 RC,PM2.5 RC,PM10 RC,Mass mid,,,,g/m^3,1000000
b0,0.38,0.46,0.4646,4.5,5.25E-20,8.66E-08,95.89926673,98.6832123,98.63856286,8.41E-08,,,,ug/m^3,1
b1,0.54,0.66,0.6672,3,1.56E-19,2.57E-07,83.15184,98.68897,98.06094,2.48E-07,,,,,
b2,0.78,0.89,0.8945,2,3.75E-19,6.18E-07,57.11228,96.68897,97.32922,6.09E-07,,,,,
b3,1,1.15,1.1565,0.5,8.10E-19,1.34E-06,31.89522,93,96.44113,1.31E-06,,,,,
b4,1.3,1.45,1.4552,0.3,1.61E-18,2.66E-06,16.594,86.8154,95.79272,2.63E-06,,,,,
b5,1.6,1.85,1.8612,0.25,3.38E-18,5.57E-06,6.455344,73.873,94.79953,5.47E-06,,,,,
b6,2.1,2.55,2.5762,0.25,8.95E-18,1.48E-05,1.01169,45.20335,92.91143,1.43E-05,,,,,
b7,3,3.5,3.5236,0.25,2.29E-17,3.78E-05,0.09135,18.405,90.09416,3.70E-05,,,,,
b8,4,4.5,4.5184,0.35,4.83E-17,7.97E-05,0.009714,6.48808,86.01315,7.87E-05,,,,,
b9,5,5.75,5.7824,0.45,1.01E-16,1.67E-04,0.000851,1.705866,78.05186,1.64E-04,,,,,
b10,6.5,7.25,7.2758,0.5,2.02E-16,3.33E-04,7.25E-05,0.355636,64.7503,3.29E-04,,,,,
b11,8,9,9.0369,0.8,3.86E-16,6.38E-04,6.27E-06,0.063193,47.68094,6.30E-04,,,,,
b12,10,11,11.0302,1,7.03E-16,1.16E-03,7.18E-07,0.010301,30.8748,1.15E-03,,,,,
b13,12,13,13.0256,1,1.16E-15,1.91E-03,1.12E-07,0.001995,18.87123,1.90E-03,,,,,
b14,14,15,15.0222,1,1.78E-15,2.93E-03,2.30E-08,0.000453,11.1575,2.92E-03,,,,,
b15,16,16.5,16.505,1,2.35E-15,3.88E-03,6.86E-09,0.000139,6.94381,3.88E-03,,,,,
,17,,,,,,,,,,,,,,
