Factory PM,Density  g/ml,,1.65,Density ug/m^3,1.65E+12,pi,3.141592654,,,,,,,
,,,,,,,,,,,,,,
bins names,bin size um,Min point ,Volume weighet Diamiter ,Volume (m^3),Mass (ug),Volme mid point,Mass mid point,,,Flow rate ,period,MToF,OPC-T,OPC-RH
b0,0.35,0.405,0.407474561,3.54E-20,5.84E-08,3.48E-20,5.74E-08,,,(ml/min), (100 *s ),?,C,RH
b1,0.46,0.56,0.565890209,9.49E-20,1.57E-07,9.20E-20,1.52E-07,,,,,,,
b2,0.66,0.83,0.841447806,3.12E-19,5.15E-07,2.99E-19,4.94E-07,,,,,,,
b3,1,1.15,1.1564851,8.10E-19,1.34E-06,7.96E-19,1.31E-06,,,,,,,
b4,1.3,1.5,1.508836728,1.80E-18,2.97E-06,1.77E-18,2.92E-06,,,,,,,
b5,1.7,2,2.014888885,4.28E-18,7.07E-06,4.19E-18,6.91E-06,,,,,,,
b6,2.3,2.65,2.665320067,9.91E-18,1.64E-05,9.74E-18,1.61E-05,,,,,,,
b7,3,3.5,3.523649366,2.29E-17,3.78E-05,2.24E-17,3.70E-05,,,,,,,
b8,4,4.6,4.625940398,5.18E-17,8.55E-05,5.10E-17,8.41E-05,,,,,,,
b9,5.2,5.85,6.697541238,1.57E-16,2.60E-04,1.05E-16,1.73E-04,,,,,,,
b10,6.5,7.25,8.371926547,3.07E-16,5.07E-04,2.00E-16,3.29E-04,,,,,,,
b11,8,9,10.13159404,5.45E-16,8.98E-04,3.82E-16,6.30E-04,,,,,,,
b12,10,11,11.03021993,7.03E-16,1.16E-03,6.97E-16,1.15E-03,,,,,,,
b13,12,13,13.02559062,1.16E-15,1.91E-03,1.15E-15,1.90E-03,,,,,,,
b14,14,15,15.02218938,1.77E-15,2.93E-03,1.77E-15,2.92E-03,,,,,,,
b15,16,17,17.01958527,2.58E-15,4.26E-03,2.57E-15,4.24E-03,,,,,,,
b16,18,19,19.01752769,3.60E-15,5.94E-03,3.59E-15,5.93E-03,,,,,,,
b17,20,21,21.01586103,4.86E-15,8.02E-03,4.85E-15,8.00E-03,,,,,,,
b18,22,23.5,23.53187165,6.82E-15,1.13E-02,6.80E-15,1.12E-02,,,,,,,
b19,25,26.5,26.52827171,9.78E-15,1.61E-02,9.74E-15,1.61E-02,,,,,,,
b20,28,29.5,29.52540185,1.35E-14,2.22E-02,1.34E-14,2.22E-02,,,,,,,
b21,31,32.5,32.52306056,1.80E-14,2.97E-02,1.80E-14,2.97E-02,,,,,,,
b22,34,35.5,35.5211142,2.35E-14,3.87E-02,2.34E-14,3.87E-02,,,,,,,
b23,37,38.5,38.51947067,2.99E-14,4.94E-02,2.99E-14,4.93E-02,,,,,,,
,40,,,,,,,,,,,,,
